DJ,ShowName,onSched,showCount
SN,Surface Noise with Joe McGasko,YES,432
TM,Three Chord Monte,YES,890
JP,Jim Price,YES,289
SW,Scott Williams,YES,798
PL,Do or DIY with People Like Us,YES,265
VF,Vocal Fry with Dan Bodah,YES,81
YN,"Dance With Me, Stanley with Stashu",YES,199
GS,Goddamn Dave Hill Show,YES,160
JJ,Frow Show with Jesse Jarnow,YES,342
ZO,Zoe,YES,NA
WA,Woof Moo Morning Show with Clay Pigeon,YES,500
GT,Garbage Time with Matt Warwick,YES,134
LB,Liz Berg,YES,39
BT,Brian Turner,YES,791
BC,Sportsy Talk with Bronwyn C. and Jim the Poet,YES,283
PE,Morricone Island with Devon E. Levins,YES,126
AP,Antique Phonograph Music Program,YES,644
AG,Samantha,YES,111
WB,Wm. Berger presents My Castle of Quiet,YES,394
SF,What Was Music? with Marcel M,YES,40
KF,Ken | current,YES,22
DH,Duane Train,YES,303
IC,Irwin Chusid,YES,756
SD,Seven Second Delay with Ken and Andy,YES,514
IL,In Real Life with Kimzilla and Emily,YES,37
HG,Honky Tonk Radio Girl with Becky,YES,99
ED,"Evan ""Funk"" Davies Show",YES,573
ND,Nickel and Dime Radio with $mall Â¢hange,YES,477
OB,Olivia,YES,16
LM,This Is Modern World with Trouble,YES,692
DK,Diane's Kamikaze Fun Machine,YES,1257
FR,Strength Through Failure with Fabio,YES,19
MW,Music of Mind Control with Micah,YES,NA
HA,Miracle Nutrition with Hearty White,YES,255
CR,Sinner's Crossroads with Kevin Nutt,YES,20
TQ,Therese,YES,328
NN,Nick Name,YES,162
SS,Stan,YES,280
BY,Marty McSorley,YES,465
BK,Bryce,YES,20
CF,Sophisticated Boom Boom with Sheila B.,YES,89
AF,"Shut Up, Weirdo with Frangry and Michele",YES,422
BJ,Put Needle On Record with Billy Jam,YES,583
SV,Downtown Soulville with Mr. Fine Wine,YES,20
DN,Daniel Blumin,YES,448
IS,Inflatable Squirrel Carcass with Rich Hazelton,YES,660
MJ,Serious Moonlight Sonatas with Carol,YES,41
SP,Shrunken Planet with Jeffrey Davison,YES,771
BB,Bob Brainen,YES,928
SH,Michael Shelley,YES,572
FP,Fool's Paradise sHomepage,YES,463
TA,Toddophonic Todd,YES,192
TP,Transpacific Sound Paradise:,YES,658
RR,Prove It All Night! with Pat Byrne,YES,191
SG,Rolling Motion with Joel St. Germain,YES,102
EH,Spin Age Blasters with Creamo Coyl,YES,53
NK,Burn It Down! with Nate K.,YES,158
TW,Teenage Wasteland,YES,853
HC,Hello Children with Faye,YES,209
GF,Gaylord Fields,YES,295
DM,World of Echo with Dave Mandl,YES,531
AH,Avant Ghetto with Jeff Conklin,YES,138
CI,Circle Time with Mark R.,YES,63
MY,100% Whatever with Mary Wing,NO,20
HP,A440 / Stochastic Hit Parade with Bethany Ryker,NO,442
AR,Acapulco Dance Party with Acapulco Rodriguez,NO,105
AM,Acousmatic Theater Hour with Jason G and Karinne,NO,47
SU,Advanced D & D with Donna Summer,NO,112
AV,Aerial View,NO,NA
AE,Airborne Event,NO,10
DC,Airborne Event Dronecast,NO,56
AZ,Alan Watts Lecture Series with Late Alan Watts:s,NO,NA
PB,All Over Map with PGB,NO,94
OH,amEdeo,NO,91
AL,Andrew Listfield,NO,126
AW,Andy Waltzer,NO,7
AA,Anna,NO,NA
AS,Anti Static with Mike L.,NO,83
TR,Are We There Yet? with Tamar,NO,128
AJ,Atomic Jukebox with Jon,NO,5
AK,Audio Kitchen with Professor,NO,8
XZ,Aunty Pat and Aunty Ellen,NO,2
BF,Awesome New Place with Bennett4Senate,NO,53
CM,Awesome Time with Michele,NO,2
BI,BangBang with Kissey,NO,3
KH,Beastin' Airwaves! with Keili,NO,215
BV,Beer Hear! with Bob W. and B.R.,NO,143
SI,Belly of the Beast with Stefan,NO,192
BR,Benjamen Walker,NO,112
BD,Best Show Gems with Tom Scharpling,NO,NA
BN,Betsy Nichols,NO,23
GE,Big Beat Generation with Laurent,NO,6
BZ,Bill Zurat,NO,1
KB,Bitslap with KBC,NO,421
BO,Black Ops,NO,135
BL,Blast of Hot Air with Kimzilla,NO,NA
UT,Blurred and Obscured with Jonathan Herweg,NO,136
BW,Bob W.,NO,162
PG,Bodega Pop Live with Gary Sullivan,NO,171
BH,Bossa Nova Carnival with Mr. C,NO,NA
BG,Brad LaBonte,NO,55
CL,Busy Doing Nothing with Charlie | current,NO,532
FJ,Cake & Polka Parade with Fatty Jubbo,NO,105
CD,Champ Sound with DJ Guy,NO,77
TT,:: Cherry Blossom Clinic :,NO,590
VR,Michael Goodstein's,NO,326
BE,Chris Beyer,NO,NA
WV,Christian Living,NO,2
CH,Christina,NO,4
CK,Clean Air with DJ Time Traveler,NO,1
CT,Codpaste with People Like Us and Ergo Phizmiz,NO,16
CG,Coffee 2 Go with Noah,NO,88
NU,Coffee Break For Heroes & Villains with Noah,NO,316
CZ,Come to the Sunshine with Andrew Sandoval,NO,NA
CW,Continental Subway with David Dichelle,NO,18
UE,Cool Blue Flame with Little Danny,NO,51
CE,Crayons to Perfume with Glynis GirlGroupGirl,NO,124
MK,Dan Mackta,NO,149
JQ,Dark Night of the Soul with Julie,NO,243
DY,Debbie Does  with Debbie D.,NO,202
JU,Dedications with Jo Firestone,NO,14
DI,Dennis Diken,NO,8
TK,Depravity's Rainbow with Therese and Mike,NO,17
DO,destination: OUT,NO,19
DJ,Diesel Smoke & Dangerous Curves,NO,91
DU,DIFM (Do It For Me) with Pseu Braun,NO,75
DQ,Digital Dump with Lou,NO,8
DD,Dirty Duck,NO,2
RD,Distort Jersey City with Reed Dunlea,NO,98
RI,DJ Roulette,NO,58
DG,Doron,NO,14
GM,Dr. Gameshow with Jo Firestone,NO,74
CP,Dusty Show with Clay Pigeon,NO,509
EB,Eclectic Music for Mind and Bodhi with Peter Nelson,NO,11
ES,Ed Shepp Radio Experiment,NO,59
ET,Eliza,NO,1
EG,Ephemeral Riffage with Cheyenne,NO,13
AO,Eternal Now with Andy Ortmann,NO,123
EM,Evan Muse,NO,112
EX,Explorers Room with Flash Strap,NO,104
FG,Flaming Robot of Love,NO,3
TS,Flour Hour with DJ Large Margin,NO,21
FM,FMA Listening Party with Cheyenne,NO,2
GA,Free Music Archive presents Grey Area with Jason Sigal,NO,19
FS,Friend of the Show with Jim the Poet,NO,1
FY,Fringe Factory with DJ Vikki V,NO,127
DB,Gateway to Joy with Donna,NO,131
DS,GIVE THE DRUMMER SOME: (2017),NO,29
GL,Global Grease with Kim Sorise,NO,74
AB,Go To Hell! with Andy Breckman,NO,24
XY,Grandma Phyllis,NO,1
GK,Greasy Kid Stuff,NO,30
GC,Greg Cartwright Spins,NO,1
HM,Hatch,NO,221
HD,Hinky Dinky Time with Uncle Michael,NO,206
HB,Hot Probs with Veronica and Jenn,NO,1
HR,HotRod,NO,225
HO,Hound,NO,NA
LD,Hour of the Duck with Lou D'Antonio,NO,13
HN,s for Hova,NO,64
AI,If You Lose Your Horse with Sam Segal,NO,90
LP,I'm Sorry I Had To Kill That Guy with Laure,NO,38
IW,"""I'm Worth It"" with Michele and Frangry",NO,12
ID,Imaginary Radio with Chris M.,NO,280
IM,Incorrect Music,NO,50
JV,Infidelity with Fidel,NO,9
DT,Infinite Distortion,NO,117
IE,Inner Ear Detour with David,NO,200
IK,Ira,NO,42
IT,Irene Trudel,NO,25
JK,Jack Mello,NO,80
LI,Janitor From Mars with R. Lim,NO,185
JL,Jason Elbogen,NO,3
MU,Jefferson,NO,NA
ZR,JM in the AM PostMarathon,NO,NA
ZQ,JM in the AM PreMarathon,NO,NA
JA,John Allen Show,NO,615
JW,Jonathan Williger,NO,5
JD,Karaoke Alarm Clock with Jason Das,NO,52
KS,Kelly,NO,NA
KJ,Kelly Jones Show Starring Bronwyn Carlton,NO,NA
KG,for Kenny G's Hour of Pain,NO,1
LE,Ken's Last Ever Radio Extravaganza,NO,49
KW,Knuckle Sandwich with Dave Bombay,NO,91
LC,Lacuna with Lia,NO,1
FF,Lamin,NO,115
LW,Life: Welcome to Reality with CC,NO,38
LL,Live at Admiral with Dr. Filth,NO,135
SZ,Live Broadcasts and Special Events,NO,70
LY,Live from Leroy with djcasequarter,NO,33
MD,Long Rally with Scott McDowell,NO,440
LO,Long Way Home with Kris Holmes,NO,31
LS,Love is Only Sleeping with Bronwyn B,NO,8
HU,Magic Hour with Jeff Golick,NO,60
PK,Make With Shake with DJ Pat K,NO,16
FA,Marc Farre,NO,NA
MG,Marc Grobman,NO,41
MQ,Marcus,NO,4
MR,Mark Allen,NO,46
MH,Martha,NO,318
FE,Matt Fiveash,NO,264
HH,McHuge Castanets,NO,15
RK,Media Squat with Douglas Rushkoff,NO,38
CS,Micah,NO,109
CN,Michele's Michele Show,NO,4
AD,Mike Adler,NO,NA
HT,Mike L.,NO,304
VL,Mike Van Laar,NO,45
KU,Miniature Minotaurs with Kurt Gottschalk,NO,415
KD,Minor Music with Jesse Krakow,NO,77
BA,Mister Boyd & Miss Amanda,NO,NA
MI,Mita!,NO,50
ML,Monica,NO,5
EN,Moonshine Heather with Eva,NO,62
FX,More Than A Few Exciting Moments with Frank O'Toole,NO,770
MT,Moshik Temkin,NO,11
OJ,Mosurock with Doug M.,NO,4
DR,Mudd Up! with DJ/Rupture,NO,279
MZ,Muriel's Treasure with Irwin,NO,72
TY,Music Factory with Tom Wilson,NO,1
NH,Music Faucet with Nicholas Hill,NO,6
DZ,Music from Daddy's Hideaway,NO,31
MS,Dave the Spazz',NO,752
YT,Mystic Sound,NO,2
NW,Nardwuar Human Serviette Show,NO,202
NR,Nat Roe,NO,1
AN,Nazario Scenario,NO,327
KK,Neighbors Noise with Jesse Kaminsky,NO,244
NP,Night People,NO,274
NI,Ning Nong Radio,NO,53
NS,Noise and Syrup with Jeff M,NO,160
NB,Norflax Oxdun Sidetower with Nick Bard,NO,22
OC,Old Codger with Courtney T. Edison,NO,92
ON,Old Time New,NO,6
MV,Optical Sound with Mike Sin,NO,69
UP,Optimized! Expanded Radio Stream,NO,6
PT,Paid By Tear with Sasha,NO,62
PN,Pal Around with BriJet,NO,7
PD,Pat Duncan,NO,316
PO,Paul Bruno,NO,37
ER,Phuj Phactory with Ergo Phizmiz,NO,75
VE,Play Vertigo with Mayuko,NO,93
ZB,PostMarathon FF,NO,NA
PS,Pounding System with Clay,NO,176
ZA,PreMarathon Freeform,NO,NA
PV,Private Sector with Chris Tarantino,NO,13
PR,Professor,NO,NA
DL,Professor Dum Dum's Lab,NO,244
PI,Prove It Show with Pat Byrne,NO,2
SB,Pseu Braun,NO,292
HK,Pseu's Thing With A Hook,NO,206
LZ,Push Bin with Lou,NO,109
BQ,Radio BLT,NO,35
ZZ,Radio Boredcast,NO,524
FC,Radio Free Culture,NO,65
RF,Radio Freetown with DJ Franc O,NO,20
RV,Radio Lve Sessions,NO,NA
RT,Radio Thrift Shop with Laura Cantrell,NO,3
RP,Ragged Phonograph Program with Mike Haar,NO,25
OS,Rampler with Frank Edward Nora,NO,19
RM,Rancho Thatchmo with Thatcher Keats,NO,NA
RA,Raw Sewage with Bill Zurat,NO,36
MX,Re:Mixology with DJ Jesuspants,NO,2
RG,Real Nitty Gritty with Real Nitty Gritty Tania and Thomas Torment,NO,101
RC,Rhubarb Cake with Douglas,NO,103
RH,Ridgewood Radio with David Weinstein,NO,52
RX,Rix,NO,122
RN,RNC Remix,NO,1
RE,Robin Edgerton,NO,16
SQ,A Rough Mix with Steinski,NO,53
RU,Russ,NO,3
SJ,Sara Jaffe,NO,6
BX,Scones Radio,NO,105
JO,ShoutHouse with James Fernandez,NO,9
IF,Side Show with Cruciferous Green,NO,7
SY,Simpsons Time: Thru the Debigulator with Amanda Nazario,NO,74
PZ,Skeptech Conference,NO,NA
SA,Solid Gold Hell with Sue P.,NO,269
TO,Sound and Safe with Trent,NO,227
SO,Stereo Odyssey with Yancy,NO,4
SK,Steve Krinsky,NO,98
SL,Steve Liesch,NO,2
YS,Stuff You Should Know with Josh and Chuck,NO,NA
TL,Tale of the Twelve with Lou,NO,32
JI,Talk's Cheap with Jason Sigal,NO,217
TF,Ted Barron,NO,77
TJ,Tenderness Junction with Mark V.,NO,NA
VK,Test Program,NO,8
TG,Testify! with Larry Grogan,NO,1
TE,Thomas Edison's Attic,NO,109
MB,"Time Travel Musical Bazaar, with Ergo Phizmiz & Travelling Mongoose",NO,NA
TC,Tony Coulter,NO,598
PC,Tony Procaccino,NO,1
TN,Tony Rettman,NO,61
TI,Too Much Information with Benjamen Walker,NO,105
TU,Toothpick Rhythm with Betsy Nichols,NO,34
MO,"Trash, Twang and Thunder with Meredith Ochs",NO,63
DF,Undancing In Dirt with Thomas Storck,NO,164
MN,Underwater Theme Park with Meghan,NO,330
VC,Vortex of Chaos with Bill Zebub,NO,79
AT,What's Happening?!?! with Matt M,NO,95
WT,Whig Out with Glynis GirlGroupGirl and Richard W,NO,80
LK,Why Oh Why? with Andrea Silenzi,NO,88
WS,Woody,NO,152
BM,Zzzzzzero Hour with Bill Mac,NO,481
